fixture_id,event_status,matchsheet_status,competition,round,date,day,start_time,duration_min,ground,field,league,age_group,division,gender,home_club_code,home_club_name,home_team_code,home_team_group,home_team,away_club_code,away_club_name,away_team_code,away_team_group,away_team,home_score,away_score,home_extra_time_score,away_extra_time_score,home_penalty_score,away_penalty_score,status
DRBL-3972059,Complete,Completed,Premiership,1,2025-04-06,Sunday,11:00,100,Meadowbank Park,No 3,All Age Women's 04 Female,All Age Women's,4,female,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,PUT,Putney Rangers FC,PUTAAWD4F,,Putney Rangers FC All Age Women's 04,1,3,,,,,Complete
DRBL-4014743,Complete,Completed,Premiership,2,2025-04-13,Sunday,13:00,100,North Epping Oval,Main,All Age Women's 04 Female,All Age Women's,4,female,NER,North Epping Rangers FC,NERAAWD4FORA,Orange,North Epping Rangers FC All Age Women's 04 Orange,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,2,1,,,,,Complete
DRBL-4089257,Complete,Completed,Premiership,4,2025-05-04,Sunday,15:00,100,Meadowbank Park,No 9,All Age Women's 04 Female,All Age Women's,4,female,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,STA,Eastwood St Andrews FC,STAAAWD4FAQUA,Aqua,Eastwood St Andrews FC All Age Women's 04 Aqua,1,2,,,,,Complete
DRBL-4090982,Complete,Completed,Premiership,5,2025-05-11,Sunday,13:00,100,Meadowbank Park,No 3,All Age Women's 04 Female,All Age Women's,4,female,NER,North Epping Rangers FC,NERAAWD4FBLACK,Black,North Epping Rangers FC All Age Women's 04 Black,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,4,0,,,,,Complete
DRBL-4423004,Complete,Completed,Premiership,6,2025-05-18,Sunday,11:00,100,Meadowbank Park,LH Waud,All Age Women's 04 Female,All Age Women's,4,female,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,NMH,Normanhurst Eagles FC,NMHAAWD4F,,Normanhurst Eagles FC All Age Women's 04,1,0,,,,,Complete
DRBL-4423034,Complete,Completed,Premiership,8,2025-06-01,Sunday,13:00,100,Meadowbank Park,No 3,All Age Women's 04 Female,All Age Women's,4,female,MAC,Macquarie University SC,MACAAWD4F,,Macquarie University SC All Age Women's 04,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,2,0,,,,,Complete
DRBL-4422989,Complete,Completed,Premiership,3,2025-06-02,Monday,20:00,100,West Epping Park,No 1,All Age Women's 04 Female,All Age Women's,4,female,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,FBT,Flying Bats FC,FBTAAWD4F,,Flying Bats FC All Age Women's 04,1,0,,,,,Complete
DRBL-4523480,Complete,Completed,Premiership,7,2025-06-08,Sunday,13:00,100,Eastwood Oval,Lower,All Age Women's 04 Female,All Age Women's,4,female,STA,Eastwood St Andrews FC,STAAAWD4FBLUE,Blue,Eastwood St Andrews FC All Age Women's 04 Blue,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,4,0,,,,,Complete
DRBL-4523501,Complete,Completed,Premiership,9,2025-06-15,Sunday,11:00,100,Meadowbank Park,No 9,All Age Women's 04 Female,All Age Women's,4,female,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,NER,North Epping Rangers FC,NERAAWD4FORA,Orange,North Epping Rangers FC All Age Women's 04 Orange,1,3,,,,,Complete
DRBL-4523513,Complete,Completed,Premiership,10,2025-06-22,Sunday,13:00,100,Eastwood Oval,Lower,All Age Women's 04 Female,All Age Women's,4,female,STA,Eastwood St Andrews FC,STAAAWD4FBLUE,Blue,Eastwood St Andrews FC All Age Women's 04 Blue,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,6,0,,,,,Complete
DRBL-4523525,Complete,Completed,Premiership,11,2025-06-29,Sunday,13:00,100,Meadowbank Park,No 10,All Age Women's 04 Female,All Age Women's,4,female,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,RFC,Roselea FC,RFCAAWD4F,,Roselea FC All Age Women's 04,1,2,,,,,Complete
DRBL-4523543,Complete,Completed,Premiership,12,2025-07-06,Sunday,13:00,100,Thornleigh Oval,Main,All Age Women's 04 Female,All Age Women's,4,female,NMH,Normanhurst Eagles FC,NMHAAWD4F,,Normanhurst Eagles FC All Age Women's 04,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,1,0,,,,,Complete
DRBL-4523552,Complete,Completed,Premiership,13,2025-07-13,Sunday,13:00,100,Eastwood Oval,Upper,All Age Women's 04 Female,All Age Women's,4,female,STA,Eastwood St Andrews FC,STAAAWD4FAQUA,Aqua,Eastwood St Andrews FC All Age Women's 04 Aqua,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,3,0,,,,,Complete
DRBL-4523573,Complete,Completed,Premiership,14,2025-07-20,Sunday,11:00,100,Meadowbank Park,No 3,All Age Women's 04 Female,All Age Women's,4,female,MAC,Macquarie University SC,MACAAWD4F,,Macquarie University SC All Age Women's 04,WRR,West Ryde Rovers FC,WRRAAWD4F,,West Ryde Rovers FC All Age Women's 04,0,2,,,,,Complete
